"country","code","t_min","t_max","peak_time","amplitude","s_l","s_l_SE","s_r","s_r_SE","aoc"
"Argentina","ARG",2016,2016.835062,2016.331287,6.03e-05,29.9863374595966,4.35845738511694,56.7593057589583,37.9446778308278,4.93777818477078e-06
"Bahamas","BHS",2014.328549,2015.413424,2014.832324,2.33e-05,42.7307340232339,15.2256447551962,17.3113138435846,1.70564390840831,3.09809026304728e-06
"Barbados","BRB",2013.914462,2016.66805,2014.914462,8.13e-06,149.84712088213,323285.108809581,154.478072793508,295891.102982754,1.91210871244021e-07
"Bolivia","BOL",2015.914462,2016.583175,2016.416162,0.000206382,18.4117372759261,5.9684252299417,1349.46657473534,7.64567408568551e+49,2.12649951683146e-05
"Bolivia","BOL",2016.66805,2017.914462,2017.413424,4.15e-05,48.7592416274258,39.6023601641328,18.4055675849334,3.02832740448241,5.1138529071206e-06
"Brazil","BRA",2015,2017.084875,2016.66805,0.00298718,11.0060118917092,1.01664102023506,6.72547432335102,0.424841406739489,0.00113392540323064
"Brazil","BRA",2017.161537,2017.914462,2017.328549,0.001255821,4.91085237380928,0.598471812202155,21.9471482969747,7.25379857206413,0.000508994328949978
"Chile","CHL",2014.413424,2015.246412,2014.914462,3.9e-06,28.179632950973,7.16736998931919,104.992116638921,3790.67001583768,3.00167223483865e-07
"Colombia","COL",2015,2017.914462,2015.161537,0.001293847,4.71076812080101,0.257849239106291,35.3102589247781,8.59232098795911,0.000561791139773623
"Costa Rica","CRI",2014.413424,2015.413424,2015,0.001225246,12.0423107810216,2.01389298084885,10.0479630292672,1.4990230657553,0.000349960488013086
"Costa Rica","CRI",2015.832324,2017.914462,2016.084875,2.23e-05,25.595623325574,9.66551187494886,14.8727935815696,3.57454106077371,3.7084176320146e-06
"Cuba","CUB",2014.832324,2015.246412,2015.084875,2.95e-06,1507.66026317026,1.30706297508512e+50,13.5372134390575,1.94218536934399,4.28725021672215e-07
"Dominican Republic","DOM",2014,2015.413424,2014.495562,0.003307734,9.5778203145247,0.906305945294446,10.8874916725002,1.13016275308527,0.00101781898026516
"Ecuador","ECU",2014.747449,2017.914462,2015.495562,0.000325963,31.5979579191381,6.44782656493932,23.8640567219454,3.1578919285563,3.19399329185055e-05
"El Salvador","SLV",2013.914462,2017.914462,2015.580437,0.000240253,16.6230076720207,1.84815388836227,9.09539115643675,0.652307221630431,6.54583397488918e-05
"Guatemala","GTM",2015.495562,2016.416162,2015.914462,0.000508248,31.1248440486423,1.20598533519304,148.003868447766,16854.3067344508,3.4051678968538e-05
"Guyana","GUY",2014.495562,2015.161537,2014.914462,0.000497476,24.409111223977,0.676757867449236,68.3860301865012,24.8169144639544,4.57055228210837e-05
"Haiti","HTI",2014.084875,2014.747449,2014.413424,0.001056891,24.1276124430714,0.635541876547945,31.4819393872125,1.25312799475895,0.000122009451573652
"Honduras","HND",2014.747449,2016.835062,2015.580437,0.000526356,50.9084768824237,78.64446793305,12.049414797288,2.21314022808773,9.29032709803676e-05
"Jamaica","JAM",2014.580437,2015.580437,2014.914462,6.25e-05,11.8232106407989,1.65414299552527,16.7229619093683,3.04041836068066,1.42401830982993e-05
"Mexico","MEX",2014,2017.914462,2015.665312,6.6e-05,8.82843039491362,0.479466832653067,9.53591525189361,0.547313289108157,2.26267032247091e-05
"Nicaragua","NIC",2014.161537,2017.914462,2015.580437,0.000486426,17.3611011376244,4.66866377852742,62.9660266494043,250.493392306894,5.75898474366124e-05
"Panama","PAN",2016.583175,2017.914462,2017.580437,1.41e-05,11.7071728874884,3.9428202268675,6.81140821628857,1.59617166316026,5.17552302581347e-06
"Peru","PER",2014.084875,2015.328549,2014.747449,0.00019236,9.93188602802682,2.09948572028948,10.4690993688675,2.31278052597996,5.91311536474057e-05
"Suriname","SUR",2013.914462,2015.580437,2014.161537,6.65e-05,33.1562362839211,7.19401787567744,37.4918249812759,8.52944191291358,5.96081851286256e-06
"Trinidad and Tobago","TTO",2014.161537,2015.747449,2014.665312,1.32e-05,17.3792897320536,3.50628517992346,73.9965722255765,484.302087606966,1.69608486389822e-06
"United States of America","USA",2014.246412,2015.328549,2014.914462,2.09e-07,157.611735475193,1108574.07156542,161.627034887665,939472.523939474,3.48612463335325e-09
"Uruguay","URY",2014.246412,2015.328549,2015,2.65e-06,34.6165073962463,17.8269558174354,11.5893178451064,1.87478510443816,5.08202628117327e-07
"Venezuela","VEN",2014,2017.914462,2015.328549,0.000296643,168.641755486974,331577.964067531,175.438217244582,377342.712397928,1.89904753707197e-09
