"country","code","who_region","classification","infections_mean","infections_min","infections_max","total_pop_size"
NA,"THA_",NA,NA,NA,NA,NA,68714519.0016695
NA,"TLS_",NA,NA,NA,NA,NA,1196293.99881047
NA,"TTO_",NA,NA,NA,NA,NA,1370332.00169595
NA,"TUR_",NA,NA,NA,NA,NA,78529412.9918421
NA,"TZA_",NA,NA,NA,NA,NA,51482637.9844093
NA,"UGA_",NA,NA,NA,NA,NA,38225447.0070336
NA,"URY_",NA,NA,NA,NA,NA,3412013.00064499
NA,"USA_",NA,NA,NA,NA,NA,320878312.013141
NA,"VEN_",NA,NA,NA,NA,NA,30081826.9874769
NA,"VNM_",NA,NA,NA,NA,NA,92677082.0436827
NA,"YEM_",NA,NA,NA,NA,NA,26497880.9931304
NA,"ZAF_",NA,NA,NA,NA,NA,55386368.9844608
NA,"ZMB_",NA,NA,NA,NA,NA,15879370.0012343
NA,"ZWE_",NA,NA,NA,NA,NA,13814641.9999012
