country,code,who_region,classification,infections_mean,infections_min,infections_max,total_pop_size,prevalence
Japan,JPN,WesternPacific,Epidemic,1081245.862,658720.0587,1614577.304,127763267,0.008462885
Kenya,KEN,Africa,Endemic,522045.2156,232730.7198,974477.2719,49051531,0.010642791
"Korea,_South",KOR,SoutheastAsia,Epidemic,386804.0174,145296.2939,677695.0331,50983446,0.007586855
Laos,LAO,WesternPacific,Epidemic,51384.42069,0,154777.57,6845848,0.007505925
Liberia,LBR,Africa,Epidemic,28399.69034,0,81048.1948,4586788.003,0.006191629
Madagascar,MDG,Africa,Epidemic,180366.1407,32224.17437,401948.5184,24894369.99,0.007245258
Malawi,MWI,Africa,Epidemic,133604.1154,27481.61233,305115.113,17205253,0.00776531
Malaysia,MYS,WesternPacific,Epidemic,270774.9431,80798.83409,516286.3848,30684652,0.008824442
Maldives,MDV,SoutheastAsia,Epidemic,1886.524104,0,5259.941432,475504.9959,0.003967412
Mali,MLI,Africa,Epidemic,155406.3381,33846.50192,336770.8177,17965447.99,0.00865029
Malta,MLT,Europe,Epidemic,157.2767049,0,1107.231158,436098.9998,0.000360644
Mauritania,MRT,Africa,Epidemic,29901.01992,0,75812.05054,4163532.001,0.007181648
Mauritius,MUS,Africa,Epidemic,8922.913579,0,24040.42184,1261869.999,0.007071183
Mexico,MEX,Americas,Epidemic,471426.6142,256662.7648,738024.614,123333379,0.003822377
Mozambique,MOZ,Africa,Endemic,476836.7859,215367.1533,880672.2833,27829929.99,0.017133956
Myanmar,MMR,SoutheastAsia,Epidemic,443065.4466,177391.2655,770990.4645,53045199.01,0.008352602
Namibia,NAM,Africa,Epidemic,14974.8574,0,39741.06258,2358044.001,0.006350542
Nepal,NPL,SoutheastAsia,Epidemic,228690.7962,40450.64593,493594.0123,27263430.02,0.008388189
New_Caledonia,NCL,WesternPacific,Epidemic,2174.594282,0,6319.99264,274189.9996,0.007930976
Nicaragua,NIC,Americas,Epidemic,36474.01832,0,105464.8074,6303970.001,0.005785881
Niger,NER,Africa,Epidemic,170409.1837,34825.75294,367526.6661,20788789,0.008197167
