"reporting","AGO","ARG","BDI","BEN","BFA","BGD","BHS","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CYP","DJI","DOM","ECU","ERI","ETH","FJI","FRA","GAB","GHA","GIN","GMB","GNB","GNQ","GTM","GUY","HND","HRV","HTI","IDN","IND","IRN","ISR","ITA","JAM","JPN","KEN","KHM","KOR","LAO","LBR","LKA","MDG","MDV","MEX","MLI","MLT","MMR","MOZ","MRT","MUS","MWI","MYS","NAM","NER","NGA","NIC","NPL","OMN","PAK","PAN","PER","PHL","PNG","PRY","QAT","RWA","SAU","SDN","SEN","SGP","SLE","SLV","SOM","SUR","SWZ","TCD","TGO","THA","TLS","TTO","TUR","TZA","UGA","URY","USA","VEN","VNM","YEM","ZAF","ZMB","ZWE"
"SEN",875,644,881,15251,25118,118,20,0,58,2198,19,0,0,221,1359,75,9588,49767,13026,2293,8206,111,329,17139,55,93,292,307,66,1130,26,3430,7,324129,15129,23346,50563,52057,23186,1087,28,1,13,137,267,828,4862,289,656,113319,23,1446,5298,88,1307,12,3758,188,1204,29,176,66210,205,45,1202,37730,495,342,600,292,12895,36544,23,92,169,448,91,147,1261,3,22,801,894,7151,996,NA,326,4350,39,51,14,1,5295,8967,1056,0,24,7773,1218,1615,184,43016,82,251,23,9561,948,707
"SGP",4340,2067,26,33,78,266962,333,17,72,26652,92,89824,1558,533,1,6306,3011433,1010,540,110,501,4860,6,35,352,219,2162,183,185,349,12,882,2895,143636,363,1446,47,49,23,270,143,25,236,6817,21,4857877,1531664,13429,25481,102314,215,1200867,3094,273712,737235,33128,28,183374,353,75045,16684,26,1562,455504,673,72,10518,117,14101831,621,28,3642,163,23844,7951,23862,684,925,1488533,27851,45,23200,312,35996,333,285,NA,35,100,10,124,2,31,81,3202101,0,372,45557,1588,598,255,659026,217,980526,107,38704,509,730
"SLE",425,10,29,446,145,140,9,0,8,120,4,0,0,56,16,6,2542,5567,279,80,108,17,0,35,17,8,20,1,6,3,1,573,6,2281,43,16271,1253,2042,72,18,4,0,0,56,1,133,2614,31,176,1506,2,85,1401,18,194,3,8739,20,19,0,110,256,42,6,52,23,14,91,106,58,109,23155,3,50,4,275,5,28,145,17,0,210,223,55,157,4429,39,NA,0,8,0,2,33,289,134,0,26,601,430,719,0,12462,0,59,3,2368,187,376
"SLV",6,2695,1,0,2,6,320,5371,1023,8916,179,0,0,3,1,4469,3249,26,2,2,1,41157,0,7,98164,7288,6,1,6939,9844,0,9,30,2359,0,8,4,1,0,6,1261652,104,362819,31,671,13,963,3,1447,7534,716,4325,34,6,1337,0,8,7,1,27,78039,13,3,1,12,3,0,0,206,4,0,25,183963,3,1,5,45657,15455,111,4,902,29,2,37,3,29,101,1,NA,0,92,0,3,0,63,0,660,142,13,17,773,712053,4096,37,0,159,4,5
"SOM",8,0,87,2,1,283,0,0,0,6,0,2,0,0,0,0,151,20,10,10,6,0,0,0,6,1,38,92084,0,2,0,8822,9,368,6,69,0,8,0,0,0,0,2,12,4,8,694,687,3,1229,6,12,80543,1,27,0,3,113,31,19,4,7,10,2,63,6,11,17,276,13,3,24,1,395,362,431,0,1,84,0,1,1160,140,10315,1600,66,8,1,0,NA,0,0,3,4,64,0,0,5545,250,3920,0,4219,0,0,205,349,122,108
"SUR",0,222,0,15,19,4,255,123,69,27589,2096,0,0,0,0,206,5349,16,3,0,0,3192,7,5,356,1523,6,0,3990,319,0,3,1,442,0,319,2,0,0,0,150,2067,35,80,1172,391,1044,4,133,897,2134,118,11,1,66,3,1,4,0,6,412,3,30,5,0,3,30,0,453,0,0,40,85,2,3,7,882,539,1046,0,145,18,4,25,0,4,117,0,89,0,NA,0,1,4,46,0,23620,324,145,77,83,45910,9505,92,1,198,3,9
"SWZ",7,0,1,0,1,9,0,0,0,3,0,0,0,13078,0,0,2659,1,2,2,1,2,0,0,0,3,1,0,0,0,0,26,0,30,0,10,0,0,0,0,0,0,0,0,0,0,5645,0,995,9,0,1,44,2,2428,0,0,1,4,0,0,0,0,1,204023,0,8,29,22,32,0,17,0,1,0,9,0,0,1,0,0,4,3,88,2,1,12,1,0,0,0,NA,0,0,1,0,0,3,8482,22,0,19828,0,0,0,1648255,76,84143
"TCD",123,10,290,2330,2302,76,0,0,1,104,0,1,0,29,436,7,12335,3699,46623,871,2324,68,3,27,0,16,14,86,5,2,6,2973,1,22247,2110,1015,365,29,41,589,1,0,1,39,24,155,1321,57,251,2131,1,36,1914,14,179,20,33,10,233,0,32,1772,50,1,58,443,79,15,159,37,3194,2873,0,11,63,216,10,20,403,2,0,154,661,4242,17776,5682,46,19,4,7,0,0,NA,2340,739,0,45,3595,371,623,6,4719,45,16,15,1650,141,80
"TGO",71,11,145,31471,23553,25,3,0,2,1399,2,0,0,39,718,9,3438,29736,6296,859,1875,16,7,119,4,25,5,69,8,13,11,1879,1,42271,13682,4167,2174,205,856,1810,0,4,0,165,64,64,2358,8,431,3702,14,97,741,3,128,6,165,32,152,0,73,5494,23,43,75,283,90,70,27,33,4190,86091,1,6,10,117,3,28,1545,1,18,82,308,532,119,9035,47,185,0,4,11,0,2286,NA,164,0,12,814,213,282,6,8369,20,40,1,1270,108,169
"THA",1822,11579,113,154,226,237724,97,41,87,48673,94,23738,31936,861,49,3826,8622890,980,2827,688,626,1472,36,23,479,283,3689,201,1492,321,76,15926,1898,505154,577,1521,342,74,11,372,158,23,67,5312,65,844751,1485736,97225,152477,271680,133,2358653,11135,977131,1826792,3551873,234,150337,6234,65912,4469,620,2412,1867634,4222,178,3316,505,4751122,839,109,7332,79,68084,100952,122924,665,1041,391648,2656,156,74747,450,48195,4212,969,3232894,150,55,101,46,2,480,221,NA,0,486,61869,3862,2663,751,924517,128,1172431,377,79546,1092,833
"TLS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1997,0,0,0,0,0,0
"TTO",485,1041,9,6,2,130,4969,884,448,7626,79508,24,0,72,0,598,5308,60,65,3,97,7322,2,1,2954,5687,42,2,7931,951,0,34,24,1642,72,247,0,8,1,228,1104,76324,438,506,1074,529,5417,7,646,1502,28657,801,98,1,900,1,8,45,2,57,7044,0,162,43,28,5,75,7,774,36,3,7259,314,9,59,121,8722,1264,2502,36,113,163,47,530,9,27,355,26,599,0,25761,1,44,9,480,0,NA,249,290,116,242,517667,38144,43,2,960,12,12
