"reporting","AGO","ARG","BDI","BEN","BFA","BGD","BHS","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CYP","DJI","DOM","ECU","ERI","ETH","FJI","FRA","GAB","GHA","GIN","GMB","GNB","GNQ","GTM","GUY","HND","HRV","HTI","IDN","IND","IRN","ISR","ITA","JAM","JPN","KEN","KHM","KOR","LAO","LBR","LKA","MDG","MDV","MEX","MLI","MLT","MMR","MOZ","MRT","MUS","MWI","MYS","NAM","NER","NGA","NIC","NPL","OMN","PAK","PAN","PER","PHL","PNG","PRY","QAT","RWA","SAU","SDN","SEN","SGP","SLE","SLV","SOM","SUR","SWZ","TCD","TGO","THA","TLS","TTO","TUR","TZA","UGA","URY","USA","VEN","VNM","YEM","ZAF","ZMB","ZWE"
"CAF",351,0,242,8687,408,38,0,0,3,402,0,0,0,2,NA,2,3315,1341,43422,298,11923,1,3,8,3,0,9,3,5,1,1,373,2,8403,463,233,94,17,10,4095,2,0,2,18,53,13,201,0,65,2079,7,21,894,16,12,3,34,20,33,0,6,2223,3,3,12,79,15,3,3,1,313,8184,0,12,4,46,1,19,29,8,5,8,1804,26,120,1399,4,27,0,3,0,0,268,894,38,0,0,142,69,433,3,5115,0,8,5,1251,72,66
"CHL",757,3089193,3,5,15,73,1577,161,504314,834107,299,0,79,58,3,NA,34600,27,67,19,9,469991,0,11,18757,70981,131,2,131461,73403,0,86,94,59089,10,108,29,3,0,201,5634,257,3692,1175,4440,1312,8328,304,24468,103610,6947,20831,349,4981,20161,11,3,502,46,262,174995,17,188,109,267,71,97,5,5909,92,3,5214,2582,793,36,425,30515,1344441,2521,11,43383,602,21,266,8,94,6306,3,4469,0,195,0,10,9,3608,0,600,18640,196,39,91073,495671,60878,369,1,5087,135,37
"CHN",93384,31957,1513,13997,7474,140686,3628,354,4681,138551,1148,43910,10149,7488,3315,34600,NA,9184,20093,16692,22381,47592,305,496,15342,36505,13050,2969,4928,26922,471,73307,44443,2683930,9270,19854,7586,241,174,7790,915,1041,5218,106855,229,1805462,936812,203131,123054,708855,9816,7491346,54244,737167,12085035,537572,1849,272842,13291,366362,166189,19793,4141,2247050,16010,4127,110155,2995,2751969,13749,5983,254585,2042,117646,18982,149117,25904,35708,1494849,11686,2239,45671,8107,150376,32332,10140,3011433,2458,3249,142,5349,2659,11300,3503,8622890,6390,5308,399724,48484,32178,3604,4677133,51628,3941674,21979,150142,28036,10522
"CIV",2022,56,843,64975,42474,529,5,0,25,1102,4,10,0,265,1207,16,8354,NA,30953,4359,9221,220,142,551,43,34,210,223,23,60,69,2880,13,156238,22800,50186,18866,966,1235,878,19,1,68,641,101,606,7667,285,1618,21342,56,949,4809,36,1312,34,7191,133,1207,47,137,39469,257,74,744,2967,840,205,884,301,12019,45699,15,60,75,883,25,65,2544,3,31,261,887,2718,471,48143,979,5407,36,24,14,1,3776,29639,742,0,43,5476,1258,1601,23,21312,47,351,23,10726,796,656
"CMR",1713,81,1378,63459,3507,111,14,18,42,1050,5,12,1,275,44082,55,19230,33010,NA,12854,65646,92,156,87,36,60,719,157,36,104,19,4755,9,151891,90668,7305,1283,413,226,30249,6,15,68,337,107,480,4685,331,1469,13842,9,987,7847,48,1614,7,340,141,1008,14,325,3761,197,37,885,722,481,178,558,319,2205,41077,7,24,180,427,26,80,1813,16,8,625,2303,2133,624,13268,631,306,4,11,20,2,47650,5916,2061,0,140,10004,1626,2034,21,35811,53,868,36,12079,634,655
"COD",2307,37,1033,1771,594,135,2,0,12,848,2,0,0,575,236,19,15978,3918,12449,NA,11530,110,25,10,6,34,176,38,12,7,10,4334,4,49387,7234,1621,710,79,69,106,5,0,1,41,97,307,17312,93,1427,5259,0,821,9496,40,734,6,107,31,639,12,36,863,25,21,573,262,665,213,129,497,489,2905,4,69,125,793,4,169,812,2,8,51,2030,99,445,2326,129,82,1,12,1,1,756,865,587,0,3,5531,2730,4043,65,15257,4,130,5,47820,2780,2704
"COG",15432,20,769,42338,1475,42,0,0,20,1005,2,3,0,161,12620,20,22381,8936,67203,11335,NA,161,61,258,6,285,66,43,4,13,39,4842,17,108977,61978,1763,1213,60,77,885,7,1,82,933,13,919,3632,53,758,8531,0,109,2619,4,282,8,94,20,553,1,114,24243,65,48,397,1902,518,127,2371,525,651,47897,4,54,13,282,5,103,2276,5,0,59,1358,245,185,9828,582,159,0,0,0,1,2095,1817,625,0,116,2059,1411,567,10,5727,64,126,19,12976,396,525
"COL",1208,250908,17,134,22,82,4071,1100,38922,256819,1554,2,61,53,5,538025,47592,232,93,108,155,NA,0,19,96727,55133,130,10,112133,499836,3,298,37,56609,133,254,19,4,16,222,52185,948,24414,710,1919,616,10786,415,18676,96466,5541,12814,745,2918,12720,24,14,528,33,480,642688,97,987,87,138,20,99,19,2612,46,0,3139,20247,79,361,101,450692,312728,4564,57,21199,368,40,1310,18,122,4860,5,39760,0,2467,1,71,12,1457,0,6895,23288,557,241,18574,2072069,519815,304,2,3318,92,61
"COM",1,0,30,41,20,1,0,0,0,3,0,0,0,54,1,0,328,120,119,19,45,0,NA,4,1,0,2,53,0,0,2,144,0,22090,5,28,2,1,0,2,0,0,0,13,1,1,583,8,0,87,0,15,19106,3,14,0,0,321,14859,2,0,35,2,4,70,21,483,26,17,10,13,12,0,19,79,118,0,2,109,2,0,165,93,812,220,320,2,0,0,0,7,0,5,13,32,0,0,52,8892,379,1,179,0,0,1083,487,136,57
"CPV",5113,30,14,203,262,3,0,0,3,10189,2,0,0,5,11,16,829,694,104,26,198,18,4,NA,12,483,5,4,24,13,0,180,2,52808,58,456,111,2497,4351,245,1,0,4,62,0,213,204,0,38,11182,4,39,116,3,15,2,48,79,13,1,359,82,21,2,438,155,73,14,9,41,147,633,6,2,1,3,14,56,170,0,2,27,13,9,8,21678,48,49,13,0,0,0,34,165,38,0,3,161,31,11,8,20650,2,17,0,872,21,30
"CRI",44,21469,1,3,2,12,1851,3725,2926,30722,858,1,14,20,1,18757,15342,45,45,9,6,97700,1,5,NA,22056,42,3,53853,18522,0,31,24,39922,8,67,3,8,7,14,148692,561,62453,168,949,179,7673,30,17920,45477,4008,3060,161,485,5035,6,10,18,7,56,224855,8,101,13,42,1,53,14,925,58,3,109,614318,19,26,18,243039,43593,917,10,2183,181,73,191,3,61,313,17,98164,8,337,0,1,5,454,0,3140,1071,724,148,4038,1568336,40078,144,0,1548,35,21
"CUB",9567,116438,0,44,134,19,18591,130,8332,34786,528,0,0,30,1,70724,36505,34,44,12,196,59863,0,492,23814,NA,180,89,46307,86465,11,98,93,138971,110,169,113,503,25,308,10217,2811,3617,1519,7217,288,6049,1510,13627,137970,5512,9627,117,10,7838,17,2,67,24,43,377176,97,153,25,1103,1,33,4,791,228,35,258,7595,29,43,297,62427,39918,443,0,6460,461,3,453,8,97,223,3,9677,1,1414,4,29,11,201,0,5305,11270,119,47,18332,249460,139867,1244,27,4386,49,149
"CYP",300,548,5,3,12,1078,107,45,5,812,42,14,1,96,10,117,12357,155,541,117,52,110,11,3,36,217,NA,36,391,43,2,350,44,50808,56,327,16,6,1,30,28,1,21,2521,30,782,7887,19938,187261,79491,105,1854,1117,63,831,14,10,6011,8,298,512,28,10714,253,48,3,365,36,900,96,6,4737,9,1448,1996,4792,158,102,7277,47,7,6804,49,10031,352,213,2296,18,1,39,12,1,13,8,3899,0,53,1813466,374,202,28,32525,106,3903,36,5448,340,606
"DJI",7,7,188,40,67,196,1,2,0,21,3,2,0,48,7,3,2555,197,111,37,33,20,75,2,1,65,76,NA,6,8,27,25026,2,10275,66,71,5,9,6,6,0,0,0,33,1,179,2743,347,64,1789,1,819,8155,6,104,0,18,768,209,125,6,55,15,39,42,39,116,22,1659,19,60,86,3,148,238,1095,2,7,917,0,0,2509,152,8150,1306,347,150,2,1,78195,0,0,92,57,190,0,7,4062,709,1029,4,16076,0,6,4829,1561,124,83
"DOM",37,175560,0,12,13,18,3853,337,17052,171446,1625,0,0,1,1,135218,4928,23,32,15,4,106292,0,22,52917,45550,371,2,NA,35451,0,24,10,298795,4,86,10,0,1,120,17731,4637,6170,368,1082,434,1172,19,2394,125054,33230,2625,93,6,1927,6,7,22,6,3,66192,12,66,43,15,4,473,2,77,953,1,117,10863,20,18,122,62787,53634,1716,3,14172,99,19,50,14,41,139,2,6724,0,4404,0,4,9,1426,0,7506,7196,23,42,21005,3958976,174134,84,1,830,21,11
"ECU",391,176965,2,2,8,16,1636,400,16266,56155,306,2,7,11,2,72649,26922,25,72,9,11,499836,0,2,17367,86465,27,5,33414,NA,0,86,44,16987,10,106,2,0,8,90,8907,267,5940,175,4328,236,11141,388,7328,43388,1804,6895,141,577,6589,10,11,27,14,114,88785,27,70,13,35,4,44,4,1385,2,1,131,7585,17,98,123,131243,421350,966,17,4933,209,42,2183,10,690,345,2,9844,1,290,0,4,10,291,0,939,1198,1968,34,6517,936406,126670,83,18,1501,14,16
"ERI",13,0,11,14,2,65,0,0,0,7,0,5,0,32,0,0,602,78,21,9,45,1,3,0,0,8,0,57,0,0,NA,249,1,330,20,195,4,4,1,12,0,0,0,3,3,129,773,205,100,6074,0,32,2121,0,13,9,3,89,23,9,1,28,9,1,22,19,16,7,17,35,12,105,0,98,110,145,0,3,102,0,0,3091,101,17912,7317,37,14,3,0,4,0,0,17,13,121,0,0,920,243,2515,0,8299,0,9,13747,1224,121,243
"ETH",1492,157,2119,1231,1879,771,10,6,39,1978,8,33,0,1362,307,92,73307,2480,3922,3430,2911,328,170,154,32,117,298,21643,41,57,161,NA,29,22394,1981,6710,315,280,117,1396,27,13,12,167,26,586,43255,730,19778,37108,30,3279,104524,194,5132,33,435,677,783,46,290,5708,298,85,5426,193,920,3378,1239,1182,1935,38403,14,281,13131,1418,91,295,1084,40,16,18353,7294,151980,112347,3493,959,492,11,6229,3,33,2624,1665,15873,0,34,14881,16618,18555,36,153896,36,313,12408,26509,5632,4200
"FJI",5,89,0,3,3,172,20,11,4,210,30,25,0,7,8,133,44443,14,11,1,15,45,0,1,30,84,36,1,20,60,1,35,NA,1601,0,53,4,5,1,18,23,4,2,31,15,3642,6410,22,307,2784,45,8203,131,182,9946,30,4,800,12,33,162,5,23,95,9,2,44,10,1278,11,2,101,13,128,29,302,49,97,2716,13257,3,68,19,109,9,5,3472,3,26,9,1,0,0,1,1905,0,32,115,28,72,28,75753,16,567,0,422,21,28
"FRA",31051,98992,2421,56338,61584,14276,7202,1144,7203,403444,1719,758,6,2811,9915,64467,2683930,157076,155461,46335,112585,57540,26941,53950,38691,138993,50441,10211,221432,17098,293,19480,1191,NA,78631,13918,40827,2274,2556,4596,13560,310,2212,269328,30485,153204,373460,77933,659951,14077361,3690,896349,26319,64867,291678,16630,1075,106944,112201,41088,613598,101744,185340,28354,4493,20812,256378,871,94079,14414,24808,36089,6197,19970,36646,47279,40352,72481,58053,873,4908,78855,4620,148608,5883,319469,155844,2416,2113,375,387,36,21661,41860,520911,0,1663,1029799,32535,5557,17837,5374973,16408,178629,1284,137687,3054,3905
"GAB",773,54,498,65133,4031,19,9,1,32,357,25,11,0,91,350,15,9175,20461,89016,7490,61676,167,5,54,13,128,36,58,3,14,26,3354,0,76704,NA,3977,1340,46,66,3244,11,3,22,344,10,672,2868,10,620,4284,72,286,1688,17,477,2,38,97,764,3,139,13117,352,25,222,824,573,44,1334,128,862,20584,4,12,53,122,9,26,1883,3,0,125,755,581,74,17712,345,62,1,2,1,1,2318,13707,336,0,74,4888,524,366,5,7367,93,35,7,18774,271,190
"GHA",2431,212,214,5985,13643,359,93,12,36,3528,51,10,0,911,173,121,19742,47775,6885,1616,1483,231,21,377,54,234,351,62,83,102,179,7485,55,13595,3285,NA,2591,8276,721,2688,16,27,51,613,88,636,12065,363,4786,32565,120,2384,17749,69,2395,16,26702,407,467,44,340,5804,497,86,1117,1157,1029,846,1745,1047,2084,431921,13,188,301,744,134,264,2012,42,30,4304,2147,8774,1800,23929,1450,16177,6,34,233,10,939,4681,1183,0,199,8919,3348,5043,35,109273,70,249,29,50166,2760,2602
"GIN",1103,4,76,2133,3536,34,2,0,2,626,3,0,0,4,95,39,7586,19893,1082,742,1213,19,3,45,2,100,9,2,7,2,5,348,0,42001,700,3223,NA,320,407,72,0,0,0,14,5,230,1326,54,172,2127,1,156,241,11,184,4,200,16,96,0,658,8020,18,9,269,1749,15,34,447,10,883,4366,9,16,9,32,1,14,61,0,0,264,80,291,20,57988,21,1253,8,1,3,0,234,2267,244,0,0,1537,397,201,5,9204,0,91,0,1946,41,44
"GMB",333,4,15,907,407,34,0,0,1,48,118,0,0,17,15,2,312,1107,449,67,69,2,1,149,7,361,10,13,0,0,4,336,6,2583,58,8528,105,NA,194,25,0,0,3,14,7,26,943,20,109,1588,11,12,588,11,101,1,559,13,10,0,2,25,31,0,37,569,40,26,79,37,186,41359,0,3,26,76,3,5,97,0,1,191,70,610,202,51581,55,2235,1,17,0,2,31,227,54,0,8,826,159,228,7,9394,17,1,0,872,73,128
"GNB",1092,21,6,490,1139,1,0,0,2,1840,0,0,0,3,13,1,216,1507,229,162,75,18,0,4210,1,26,0,6,2,2,0,123,0,2770,156,822,503,221,NA,45,1,0,2,18,0,7,283,5,10,1603,0,12,134,0,25,0,79,1,13,0,4,481,2,4,138,139,4,3,0,3,369,683,0,7,0,13,2,3,10,1,0,22,27,165,22,24195,63,82,0,0,0,0,34,1039,11,0,3,207,16,69,13,514,0,32,0,157,11,23
"GNQ",218,73,62,16440,146,55,0,0,19,878,7,1,0,27,4035,183,11610,806,30054,118,719,228,0,141,13,301,48,12,103,65,3,1738,17,4852,2810,2747,99,25,33,NA,17,0,32,179,1,174,2191,28,1146,1595,2,20,376,3,1184,0,22,26,97,0,175,319,25,10,102,96,35,5,490,52,99,3668,9,27,8,111,13,194,4212,0,109,56,50,21,36,1026,284,17,13,0,0,3,434,1011,425,0,183,833,132,90,187,10782,111,157,0,2105,140,148
"GTM",12,6798,4,3,3,11,730,69459,1774,9104,334,0,0,1,0,5895,1095,14,10,5,9,52500,1,2,139055,9742,16,0,18790,9426,0,25,24,12149,11,27,1,0,2,13,NA,194,223370,67,1006,53,758,24,2340,6739,1359,1527,82,21,1527,0,1,27,3,0,224048,4,64,10,18,0,8,9,61,5,0,41,78924,18,18,9,62689,11737,336,1,1508,52,5,34,0,29,115,5,1261652,0,123,0,0,0,205,0,1194,315,26,44,1755,794253,4290,32,0,230,20,2
"GUY",1,169,0,0,4,27,1373,286,53,901,21857,1,0,4,0,231,1050,2,2,0,1,771,0,0,472,2596,3,1,3344,245,0,12,11,310,4,32,0,0,0,0,173,NA,75,16,408,115,524,0,29,101,39177,55,20,2,28,0,0,7,1,1,591,0,23,2,0,2,11,1,79,0,0,59,316,0,1,13,1839,3632,464,4,33,12,1,42,0,3,27,0,104,0,2035,0,0,0,24,0,78634,56,6,6,52,158436,6315,4,1,81,7,7
"HND",22,2973,0,0,1,21,542,8637,816,5951,281,4,0,0,3,3692,5218,77,76,4,50,23038,0,0,62453,3617,4,1,6553,5940,0,11,1,2165,9,50,0,0,2,33,223370,71,NA,51,243,36,988,0,1377,5420,654,678,29,7,2666,0,4,21,2,2,40015,1,42,13,23,3,27,2,289,19,0,116,397044,5,6,5,33930,5083,222,2,578,90,4,20,4,13,267,1,362819,2,28,0,2,0,60,0,445,269,5,17,759,570809,2317,19,0,279,7,2
"HRV",1126,2508,37,25,55,265,356,7,14,63260,103,68,0,41,24,1063,106855,667,333,40,821,638,21,61,174,1523,2515,37,388,158,7,184,19,268701,296,661,13,14,12,156,51,13,36,NA,25,2811,7836,1490,47751,1296747,116,162213,554,81,350083,32,42,989,78,521,2403,77,5338,150,92,36,286,11,2239,322,12,1838,25,214,1881,1243,669,422,3096,133,49,5162,90,4524,216,163,7293,44,20,10,75,0,39,173,5593,0,541,62445,532,123,398,337456,141,900,11,13025,79,51
"HTI",3,1115,82,96,103,78,1596,8,271,12463,800,0,0,0,63,4966,299,175,117,83,8,1931,1,1,971,6940,25,0,1204,5039,2,30,16,31492,7,54,34,5,1,0,1030,233,252,38,NA,37,259,2,79,1987,3663,232,159,8,335,0,13,55,37,5,2945,101,16,3,4,10,10,9,14,1,77,41,743,87,2,46,3695,734,433,8,118,30,124,5,10,214,25,1,723,2,2561,0,18,21,91,0,1054,118,69,169,184,679621,1108,251,2,108,13,8
"IDN",1502,942,21,36,119,12163,86,11,243,7582,243,44965,3,86,10,1249,1805462,664,634,325,771,664,4,127,182,278,808,142,581,252,130,535,4944,137578,749,608,386,28,14,168,38,112,26,2622,41,NA,354541,7765,1623,92080,113,770907,2038,49116,581063,8227,150,34801,267,3396,1806,223,1198,55318,681,244,3271,106,5444205,527,40,4586,30,4127,20423,7055,898,1323,321808,9294,39,47620,162,1101340,3195,738,4814179,118,14,20,364,0,132,60,845976,0,728,30003,1093,781,1330,372136,168,112405,10099,25092,368,336
"IND",13469,6558,1454,2987,1154,446889,954,239,357,43869,1999,11646,141976,14618,201,8328,936812,7629,4753,15694,3378,10786,548,225,7673,6049,10596,2630,1584,11141,1098,43255,6410,388994,2929,12112,1340,858,337,1897,826,787,988,7121,244,354541,NA,123328,89451,361516,2810,323495,107492,40563,256595,6713,2784,827035,6009,169033,66388,2109,5835,115033,20446,1148,118493,9392,1138834,2292,989,187683,1875,537201,1307100,43449,8147,7930,122736,4364,575,1137093,13667,3424423,25420,4573,1567237,2678,963,735,1044,5645,1210,2475,1437698,0,5417,145128,64167,42103,1301,2823453,3199,67534,27268,141943,29029,8223
"IRN",44,262,29,56,81,7224,0,1,63,5085,2,15,4,27,0,304,199937,310,652,74,54,415,3,0,26,1510,20279,273,14,388,208,755,28,81031,16,472,51,23,8,26,4,1,1,1520,0,7452,123328,NA,236,104211,0,21005,2016,252,16441,29,9,7916,37,2391,3927,199,356,341,87,64,1325,5,82310,26,121,5498,27,3063,52243,55508,88,52,91335,10,28,43753,71,616769,4016,278,13429,49,2,677,5,0,41,13,95955,0,7,2159384,3000,689,50,184573,1373,2268,607,5728,99,573
"ISR",4839,34454,204,272,545,61,1001,78,271,78195,254,3,175,1329,80,24468,123054,1653,1193,1411,758,18676,3,46,17920,13627,184681,84,2414,7328,2086,20612,256,644344,536,4760,172,113,15,1125,3395,27,1377,47751,106,1252,89451,185,NA,541391,1058,31913,9515,9802,35040,4437,292,12254,406,3917,63022,114,24374,2210,557,12,1301,154,5532,1055,99,22314,3049,6770,182,71,12945,17543,23107,647,1482,1165,2113,334,286,673,25481,186,1447,3,133,995,263,404,154126,0,646,291469,15541,3799,6760,1269670,2588,12427,6,42249,1419,4079
"ITA",8969,198309,1238,3953,13284,66608,5913,628,10437,663431,4104,277,0,1403,1020,103610,703658,18723,12197,4397,7870,96466,77,12028,45477,124708,80087,1693,123137,47041,5499,23813,598,14077361,3792,30094,1904,1488,1444,1321,8315,123,4904,1296747,1801,89216,386158,96711,526537,NA,5059,525115,61834,7217,313048,2158,654,104853,7492,58135,330355,4519,696327,10789,7577,1488,43665,1548,74521,6685,1205,59051,4808,9488,30171,89354,36290,84616,119802,421,6048,55561,2421,115288,6101,103487,97395,1345,7138,1189,708,8,1886,3550,263256,0,1499,906450,48171,8712,18465,4198782,77228,31600,1047,117604,4257,3318
"JAM",9,3248,0,4,0,29,27976,1500,181,3609,16960,0,0,39,5,6889,9816,64,1,1,0,5520,0,5,3827,5669,80,0,9384,1804,0,28,36,4410,74,102,1,8,0,0,1428,38227,729,102,3465,121,2810,0,1058,7279,NA,1597,163,2,1160,3,7,81,50,6,10564,1,86,77,6,2,59,9,79,88,0,414,535,14,12,16,9256,2349,1348,35,289,173,5,410,2,16,163,4,754,4,1834,0,0,7,144,0,28235,708,48,63,941,2270645,1260,24,0,794,37,47
"JPN",1017,17839,90,371,530,31490,599,496,18005,104119,152,6870,109,623,25,20831,7491346,989,1012,828,93,12814,6,37,2922,9338,2293,614,2362,6895,71,3235,8612,896349,353,2433,159,19,10,15,1843,51,608,162213,219,778627,319062,21373,31913,525115,1674,NA,8971,203474,8016664,48111,45,60675,1022,38917,155547,163,11873,107107,1141,187,1802,720,789016,519,84,15791,842,53461,3392,18479,1783,58512,922290,4197,1853,17836,1048,23763,1395,1459,1176972,78,4325,13,102,1,52,97,2372101,0,648,109502,5077,2966,871,4791555,5900,856774,118,27695,1822,866
"KEN",3670,483,18966,1500,1521,1667,187,19,43,2478,64,47,0,6828,970,209,53287,4978,8115,10320,2611,731,20162,100,145,153,1491,8061,88,157,2115,96072,144,27534,1594,15771,233,556,106,270,83,13,22,528,151,2124,111911,1958,9550,120834,172,9176,NA,435,9279,49,1945,3231,8293,615,1055,1852,682,397,21033,184,10847,14295,4852,3045,922,32032,71,1037,8813,7263,192,412,2927,126,36,21974,57794,43043,16435,5528,3328,1362,37,76957,14,49,1668,737,12372,0,90,19413,278419,209123,118,153985,255,1335,5938,120808,28362,15347
"KHM",40,48,10,11,21,2933,1,1,2,254,4,1638,235,18,22,4981,737167,21,37,42,7,2918,4,0,485,12,52,7,2,577,1,199,145,74241,19,64,12,6,4,3,13,2,3,82,8,49116,40563,294,9802,10470,1,203474,381,NA,421059,425984,6,3688,61,1342,7227,45,43,28988,115,6,84,31,351067,28,9,758,8,2253,114,804,24,19,88180,142,5,1698,38,1188,76,95,281645,21,4,2,1,0,13,3,1052686,0,0,2167,889,284,12,220881,3,1214866,12,5396,112,53
"KOR",1977,6773,176,150,222,28822,448,81,1131,66294,171,5216,972,1935,8,20161,12127623,1539,1513,725,205,12720,19,14,5035,7838,829,95,1927,6589,15,5252,9946,310857,394,2672,143,90,10,954,1601,24,2666,350083,402,581063,256595,17644,35040,233052,1160,7979588,8335,421059,NA,171379,105,35549,995,34832,109503,387,1972,122651,1298,109,4385,1006,674680,851,77,12614,3161,39706,3068,16908,6098,26962,1966939,2049,6131,14867,1967,42289,1484,1388,737235,146,1337,39,66,2428,178,145,1832279,0,900,248886,5849,3655,983,2532484,4325,1481853,832,31217,1819,5766
"LAO",2,17,3,2,10,213,0,0,1,56,0,990,6,7,8,8,537572,34,6,6,8,18,0,5,7,15,11,1,5,3,12,50,40,14152,2,18,1,1,0,0,2,0,0,18,0,8227,6713,21,4437,1139,2,48111,47,425984,171379,NA,1,509,25,124,16,14,14,7696,10,0,9,5,48543,0,1,18,3,494,16,184,6,19,17940,493,0,110,14,29,10,11,33239,3,0,0,0,0,20,4,3551873,0,2,90,29,31,7,64592,2,1301946,0,187,9,15
"LBR",561,25,20,195,120,306,1,0,3,136,4,0,0,20,31,4,1688,9212,317,119,85,11,5,36,7,14,14,18,4,11,7,405,6,1221,59,28267,159,565,74,25,3,0,2,44,8,167,2482,11,266,658,3,50,2141,21,84,0,NA,71,16,0,35,152,18,7,36,26,5,37,226,33,104,17165,2,124,1,493,3,19,214,1,6,123,81,18,111,3937,33,7484,5,8,1,0,31,257,181,0,12,1044,252,701,5,20470,2,16,0,1897,147,306
"LKA",253,135,19,40,17,36393,47,8,42,919,21,838,415,1652,18,502,272842,140,128,26,14,528,270,43,19,53,5816,801,28,51,72,795,711,98313,108,358,28,25,9,25,45,5,15,890,78,34801,800801,8662,12660,102734,107,65305,3251,3595,32227,514,78,NA,3578,201398,246,22,534,6858,1274,36,1284,399,181209,76,17,1637,6,50168,45258,29682,103,84,16597,631,8,181482,315,235404,1888,187,187295,19,7,121,6,1,8,38,149900,0,31,6636,1474,1517,20,65969,42,12280,318,6822,446,122
"MDG",228,47,262,829,210,57,7,0,7,335,16,0,1,547,46,41,13291,1025,893,625,492,33,11860,12,17,7,23,172,7,14,19,847,20,115469,736,478,96,7,15,82,4,0,1,40,68,282,6456,43,429,8129,38,1076,9141,70,1050,27,16,3691,NA,15,96,267,27,14,1306,71,39861,210,439,256,198,1564,11,57,71,699,19,32,1508,10,12,128,576,771,124,1238,393,21,2,24,1,2,248,144,6079,0,3,514,1560,673,7,6437,6,124,2,19965,854,764
"MDV",134,356,4,1,2,8341,7,0,0,1202,8,38,0,26,0,262,366362,27,15,4,0,480,3,1,56,43,221,122,1,114,10,42,22,46450,7,54,2,0,0,2,1,2,1,549,1,3270,161779,2391,4329,78908,6,30405,266,539,33259,80,1,135389,15,NA,1460,1,286,1606,51,0,561,8,26892,34,1,380,10,1310,4245,3235,113,15,1538,9,19,7732,24,20251,440,16,91733,0,27,19,6,0,0,0,60919,0,57,11582,126,53,29,29583,5,2223,94,4208,23,31
"MEX",735,345107,18,844,26,215,5994,12072,27902,394591,1566,10,276,571,6,174995,166189,150,229,38,94,635558,0,490,222791,364637,522,11,66634,88785,4,283,142,613598,98,252,658,7,8,154,224048,547,40015,2561,3034,2018,66388,3927,63022,330355,9614,155547,979,7227,109503,8,32,234,96,1460,NA,62,741,221,103,39,342,47,10287,752,11,9549,35254,1834,269,336,142302,236073,15511,48,34969,826,478,6938,23,233,16684,110,78039,1,365,0,31,58,4520,0,6586,36807,2502,391,50423,43611548,142907,1132,6,9938,115,1792
"MLI",1492,16,423,7530,18349,366,0,1,9,474,6,0,0,157,2223,7,19793,41244,3454,907,20630,97,51,72,8,58,35,54,12,27,29,5708,4,105019,8755,6776,7969,117,381,255,2,0,1,76,68,177,2109,199,120,4718,3,170,1906,91,387,10,106,18,296,1,62,NA,132,2,1014,8619,94,189,283,135,11941,72182,5,111,26,149,67,49,177,1,4,116,1327,12595,252,65109,46,256,10,8,4,0,1637,5770,466,0,0,3488,1111,1021,20,10256,163,50,7,8245,409,356
"MLT",217,392,4,43,125,196,94,10,7,3405,104,15,0,69,6,186,3867,198,181,22,63,818,1,4,97,159,10149,20,65,59,7,233,21,189784,287,490,13,41,1,22,66,18,62,5408,10,1140,3957,286,24374,696232,56,11279,580,57,1603,9,9,563,46,205,645,102,NA,134,108,33,344,38,909,96,69,937,53,133,467,456,97,234,6717,43,5,611,18,1187,253,173,1966,31,8,13,22,0,44,17,2600,0,131,27657,227,127,49,31877,165,456,33,3289,65,45
"MMR",38,39,7,9,0,12151,34,2,2,489,2,1451,18,12,4,85,2247050,72,42,30,34,64,3,1,6,26,267,38,77,34,4,95,94,27175,9,76,13,0,2,2,23,1,14,127,8,55318,115033,254,1657,10546,84,107107,407,28844,122651,6887,11,7042,16,2448,247,1,149,NA,65,2,163,33,208320,18,1,156,26,2117,349,1494,604,106,26108,190,5,3644,17,1443,73,52,451266,6,2,4,6,0,1,39,1867634,0,79,1117,128,110,58,75686,79,58742,40,1359,21,26
"MOZ",8984,364,218,123,154,810,11,3,41,11757,2,5,0,3755,12,291,19758,657,901,593,401,115,93,375,49,1109,39,35,18,37,21,5541,11,4926,224,1079,296,27,132,63,14,5,24,88,7,629,21635,79,553,8356,10,1711,20308,118,1520,14,37,1190,1489,59,127,790,97,85,NA,29,2154,277816,631,2185,49,3802,28,145,115,5786,33,170,2080,2,59,1795,840,2347,428,1129,766,62,8,64,0,204023,60,92,4704,0,18,2353,14749,2176,83,47212,35,1848,13,2245657,5313,283975
"MRT",3343,8,57,641,865,116,3,0,0,170,0,1,0,28,187,45,4705,3112,691,267,3593,21,19,163,1,3,5,52,6,6,22,212,0,20866,975,1158,1817,818,77,122,1,7,4,41,6,194,1210,76,17,1673,4,155,207,7,112,0,27,27,52,3,47,9119,44,5,28,NA,92,6,342,11,1389,194,2,16,97,317,9,17,945,0,0,1967,103,9121,585,38282,70,30,2,7,4,0,408,329,150,0,4,4396,91,99,2,4505,4,17,52,1088,114,43
