"X","country","code","who_region","classification","infections_mean","infections_min","infections_max","total_pop_size","mean_incidence","max_incidence","p_spillover"
74,"Namibia","NAM","Africa","Epidemic",14974.8573995833,0,39741.0625752698,2314901.0027938,0.00646889753881937,0.017167499831443,0.000438803917471303
75,"Nepal","NPL","SoutheastAsia","Epidemic",228690.79617656,40450.6459344797,493594.01225637,27015032.9989818,0.00846531618840441,0.0182710867787936,0.00670126029077902
77,"Nicaragua","NIC","Americas","Epidemic",36474.0183176453,0,105464.807390951,6223234.00231818,0.00586094276770865,0.0169469454871318,0.00106878761490899
78,"Niger","NER","Africa","Epidemic",170409.183671094,34825.7529420348,367526.666082281,20001662.9946539,0.00851975076855567,0.0183748054439531,0.00499345104749002
79,"Nigeria","NGA","Africa","Epidemic",1764892.8840944,1057951.72502977,2390596.02002995,181137453.997457,0.00974339014458698,0.0131976903024347,0.0517161459901047
80,"Oman","OMN","EasternMed","Epidemic",36403.5012673085,0,94259.0010058952,4267340.99956392,0.0085307223563874,0.0220884623505662,0.00106672127416793
81,"Pakistan","PAK","EasternMed","Epidemic",1946641.39954079,1354257.28441776,2671421.91546797,199426952.977519,0.00976117505922196,0.0133954908079507,0.0570418701986497
82,"Panama","PAN","Americas","Epidemic",21963.7830711591,0,63661.0592430499,3968489.99969898,0.0055345441396665,0.016041632774148,0.000643598386077633
83,"Papua_New_Guinea","PNG","WesternPacific","Epidemic",51252.0571282815,0,144086.207840581,8107771.99998714,0.00632134908682222,0.0177713689828487,0.00150182421416439
84,"Paraguay","PRY","Americas","Epidemic",39509.090764477,0,117206.001990237,6688746.00041685,0.0059068008804662,0.0175228663164863,0.00115772346544443
85,"Peru","PER","Americas","Endemic",248881.372284893,99863.9451432547,438530.773417217,30470738.992794,0.00816788107251848,0.0143918653735613,0.00729289890582089
86,"Philippines","PHL","WesternPacific","Epidemic",915585.228425919,510700.255234943,1398702.05824146,102113205.989006,0.00896637432502604,0.0136975628636325,0.0268291292725987
88,"Qatar","QAT","EasternMed","Epidemic",20809.3368562169,0,54551.3091055144,2565708.00354417,0.00811056317689764,0.0212616981473181,0.000609769982366713
89,"Rwanda","RWA","Africa","Endemic",143087.881409679,34748.5894433055,271457.263808056,11369065.9977031,0.0125857200088897,0.0238768306792219,0.00419286282532371
90,"Saudi_Arabia","SAU","EasternMed","Epidemic",257072.671428977,54360.6800096881,559936.332649214,31717676.0008767,0.00810502860997355,0.0176537629249298,0.00753292617671186
91,"Senegal","SEN","Africa","Epidemic",114603.817778369,0,314906.627572899,14578450.0038675,0.00786117987495007,0.0216008305059425,0.00335820254286462
92,"Sierra_Leone","SLE","Africa","Epidemic",51484.1879372237,0,143934.88028873,7171909.00324734,0.00717858911956529,0.0200692563477253,0.00150862627615481
93,"Singapore","SGP","WesternPacific","Epidemic",49620.8566790102,0,134655.645877599,5592142.99630456,0.00887331685040976,0.0240794353732698,0.0014540256189443
94,"Somalia","SOM","EasternMed","Epidemic",137467.547523494,0,356126.948493415,13797204.0023075,0.00996343516414654,0.025811530251626,0.00402817180617428
