"rID","GID_0","COUNTRY","GID_1","NAME_1","incidence_no_rev","incidence_rev","Population","Population_raster","no_reversion_incidence_raster","reversion_incidence_raster","Endemic","Status","cStatus","Year","Ranking","vacFrac_reac","vacFrac_prev_0","vacFrac_prev_1","vacFrac_prev_2"
161,"MRT","Mauritania","MRT.4_1","Dakhlet Nouadhibou",475.3979572,1184.754009,87772.31465,141625.1958,54.02552939,134.6386992,"Low","Non-endemic","Low endemic country Non-endemic State",3,13,0.0018,"","",""
162,"MRT","Mauritania","MRT.5_1","Gorgol",2117.581482,5277.290556,389320.4259,392334.385,2200.5237,5465.915045,"Low","Non-endemic","Low endemic country Non-endemic State",3,13,0.0018,"","",""
163,"MRT","Mauritania","MRT.6_1","Guidimaka",1865.740846,4649.670688,342982.917,328678.6242,1825.059136,4546.545953,"Low","Non-endemic","Low endemic country Non-endemic State",3,13,0.0018,"","",""
164,"MRT","Mauritania","MRT.7_1","Hodh ech Chargui",3150.87998,7851.746566,571293.7084,573749.3805,3157.312342,7867.776835,"Low","Non-endemic","Low endemic country Non-endemic State",3,13,0.0018,"","",""
165,"MRT","Mauritania","MRT.8_1","Hodh el Gharbi",1919.904462,4784.601034,352305.1259,348645.3013,1933.623842,4816.541583,"Low","Non-endemic","Low endemic country Non-endemic State",3,13,0.0018,"","",""
166,"MRT","Mauritania","MRT.9_1","Inchiri",137.3243426,342.2302578,25266.43371,25246.08449,136.2184372,339.4741967,"Low","Non-endemic","Low endemic country Non-endemic State",3,13,0.0018,"","",""
167,"MRT","Mauritania","MRT.10_1","Nouakchott",5897.05208,14696.22658,1158564.497,1288570.889,5897.05208,14696.22658,"Low","Non-endemic","Low endemic country Non-endemic State",3,13,0.0018,"","",""
168,"MRT","Mauritania","MRT.11_1","Tagant",468.0862903,1166.532377,86049.25041,84368.69676,476.3976327,1187.245331,"Low","Non-endemic","Low endemic country Non-endemic State",3,13,0.0018,"","",""
169,"MRT","Mauritania","MRT.12_1","Tiris Zemmour",327.6124538,816.4531676,60225.66065,60162.25228,328.3288375,818.2384896,"Low","Non-endemic","Low endemic country Non-endemic State",3,13,0.0018,"","",""
170,"MRT","Mauritania","MRT.13_1","Trarza",1440.85253,3590.793326,268466.3548,267832.7242,1452.784682,3612.959367,"Low","Non-endemic","Low endemic country Non-endemic State",3,13,0.0018,"","",""
38,"NER","Niger","NER.1_1","Agadez",4517.645546,9661.193928,646379.4328,645251.3399,4515.651651,9656.929892,"Low","Non-endemic","Low endemic country Non-endemic State",3,14,0.0018,"","",""
39,"NER","Niger","NER.2_1","Diffa",6239.716917,13343.29464,877208.5269,858736.4595,6347.724258,13646.38918,"Low","Non-endemic","Low endemic country Non-endemic State",3,14,0.0018,"","",""
40,"NER","Niger","NER.3_1","Dosso",18072.20078,38643.7762,2477750.57,2510037.626,18343.30773,39305.57036,"Low","Non-endemic","Low endemic country Non-endemic State",3,14,0.0018,"","",""
41,"NER","Niger","NER.4_1","Maradi",32288.34352,69044.14765,4473770.55,4445343.676,32349.07307,69193.76399,"Low","Non-endemic","Low endemic country Non-endemic State",3,14,0.0018,"","",""
42,"NER","Niger","NER.5_1","Niamey",7575.265573,16198.23446,1039704.094,1147273.448,7983.955602,17072.13801,"Low","Non-endemic","Low endemic country Non-endemic State",3,14,0.0018,"","",""
43,"NER","Niger","NER.6_1","Tahoua",34167.62102,73063.62721,4756274.984,4746148.352,34249.99725,73249.22556,"Low","Non-endemic","Low endemic country Non-endemic State",3,14,0.0018,"","",""
44,"NER","Niger","NER.7_1","Tillabéry",26783.45253,57272.90491,3716280.765,3611224.23,26480.46723,56634.90839,"Low","Non-endemic","Low endemic country Non-endemic State",3,14,0.0018,"","",""
45,"NER","Niger","NER.8_1","Zinder",36090.84022,77176.44719,5029144.986,5000350.567,36090.27718,77198.48803,"Low","Non-endemic","Low endemic country Non-endemic State",3,14,0.0018,"","",""
144,"SEN","Senegal","SEN.1_1","Dakar",8359.294084,19953.34329,2096584.209,3541487.488,8465.11284,20205.92897,"Low","Non-endemic","Low endemic country Non-endemic State",3,15,0.0018,"","",""
145,"SEN","Senegal","SEN.2_1","Diourbel",10195.80374,24337.02775,1751668.765,1760349.028,10397.34763,24818.10598,"Low","Non-endemic","Low endemic country Non-endemic State",3,15,0.0018,"","",""
146,"SEN","Senegal","SEN.3_1","Fatick",5072.462142,12107.79014,879020.3138,861788.1592,4790.909397,11435.73356,"Low","Non-endemic","Low endemic country Non-endemic State",3,15,0.0018,"","",""
147,"SEN","Senegal","SEN.4_1","Kaffrine",4004.716357,9559.118204,688021.9289,681327.5231,4092.481649,9768.426657,"Low","Non-endemic","Low endemic country Non-endemic State",3,15,0.0018,"","",""
148,"SEN","Senegal","SEN.5_1","Kaolack",6467.221712,15437.03256,1111087.518,1140161.135,6488.577752,15488.00868,"Low","Non-endemic","Low endemic country Non-endemic State",3,15,0.0018,"","",""
149,"SEN","Senegal","SEN.6_1","Kédougou",1254.253131,2990.825774,188396.1356,185399.1143,1248.31199,2976.51176,"Low","Non-endemic","Low endemic country Non-endemic State",3,15,0.0018,"","",""
150,"SEN","Senegal","SEN.7_1","Kolda",4552.54705,10866.77095,782140.8368,792309.7104,4670.943875,11161.23441,"Low","Non-endemic","Low endemic country Non-endemic State",3,15,0.0018,"","",""
151,"SEN","Senegal","SEN.8_1","Louga",5848.687602,13960.61322,1022098.777,1029142.816,5996.478491,14313.38492,"Low","Non-endemic","Low endemic country Non-endemic State",3,15,0.0018,"","",""
152,"SEN","Senegal","SEN.9_1","Matam",3873.75231,9246.511593,665521.9243,665465.5056,3805.389047,9090.877683,"Low","Non-endemic","Low endemic country Non-endemic State",3,15,0.0018,"","",""
153,"SEN","Senegal","SEN.10_1","Saint-Louis",6080.830773,14514.73087,1049271.606,1059800.014,5849.638207,13968.42279,"Low","Non-endemic","Low endemic country Non-endemic State",3,15,0.0018,"","",""
154,"SEN","Senegal","SEN.11_1","Sédhiou",3156.259035,7533.880181,542254.4908,540251.3265,3212.10319,7667.836934,"Low","Non-endemic","Low endemic country Non-endemic State",3,15,0.0018,"","",""
155,"SEN","Senegal","SEN.12_1","Tambacounda",4794.9321,11444.24347,813335.8824,815771.4826,4864.29614,11609.50234,"Low","Non-endemic","Low endemic country Non-endemic State",3,15,0.0018,"","",""
156,"SEN","Senegal","SEN.13_1","Thiès",11052.10776,26380.99558,2000464.611,2082375.678,10955.26092,26149.82554,"Low","Non-endemic","Low endemic country Non-endemic State",3,15,0.0018,"","",""
157,"SEN","Senegal","SEN.14_1","Ziguinchor",3613.653184,8625.664056,636744.9283,652358.7899,3529.992382,8425.800504,"Low","Non-endemic","Low endemic country Non-endemic State",3,15,0.0018,"","",""
