COUNTRY,GID_0,Cost_USD_2017
Benin,BEN,7
Burkina Faso,BFA,14
Cote d'Ivoire,CIV,14
Gambia,GMB,7
Ghana,GHA,18
Guinea,GIN,5
Guinea-Bissau,GNB,8
Liberia,LBR,13
Mali,MLI,12
Mauritania,MRT,13
Niger,NER,6
Nigeria,NGA,19
Senegal,SEN,9
Sierra Leone,SLE,8
Togo,TGO,7
